timestamp,P-PDG,P-TPT,T-TPT,P-MON-CKP,T-JUS-CKP,start
0,0.0,20932460.0,105.5058,11853770.0,64.94858,1
1,0.0,20931700.0,105.5013,11853920.0,64.94859,0
2,0.0,20930930.0,105.4968,11854070.0,64.94859,0
3,0.0,20930170.0,105.4991,11854220.0,64.9486,0
4,0.0,20929400.0,105.5013,11854380.0,64.94861,0
5,0.0,20928630.0,105.5036,11854530.0,64.94862,0
6,0.0,20927870.0,105.5058,11854680.0,64.94863,0
7,0.0,20928630.0,105.5036,11854830.0,64.94864,0
8,0.0,20929400.0,105.5013,11854980.0,64.94865,0
9,0.0,20930170.0,105.4991,11854300.0,64.94865,0
10,0.0,20930930.0,105.4968,11853620.0,64.94866,0
11,0.0,20931700.0,105.4946,11852940.0,64.94867,0
12,0.0,20932460.0,105.4923,11852250.0,64.94868,0
13,0.0,20931700.0,105.4901,11851570.0,64.94868,0
14,0.0,20930930.0,105.4878,11850890.0,64.94869,0
15,0.0,20930170.0,105.4923,11850210.0,64.94871,0
16,0.0,20929400.0,105.4968,11849530.0,64.94872,0
17,0.0,20928630.0,105.4946,11848850.0,64.94872,0
18,0.0,20927870.0,105.4923,11848160.0,64.94873,0
19,0.0,20927870.0,105.4946,11847480.0,64.94874,0
20,0.0,20927870.0,105.4968,11847560.0,64.94875,0
21,0.0,20929020.0,105.4957,11847630.0,64.94875,0
22,0.0,20930170.0,105.4946,11847710.0,64.94876,0
23,0.0,20931310.0,105.4935,11847790.0,64.94877,0
24,0.0,20932460.0,105.4923,11847860.0,64.94878,0
25,0.0,20931310.0,105.4946,11847940.0,64.94879,0
26,0.0,20930170.0,105.4968,11848010.0,64.9488,0
27,0.0,20929020.0,105.4984,11848090.0,64.94881,0
28,0.0,20927870.0,105.4998,11848160.0,64.94881,0
29,0.0,20930170.0,105.5013,11848240.0,64.94882,0
30,0.0,20932460.0,105.5028,11848320.0,64.94883,0
31,0.0,20931310.0,105.5043,11849530.0,64.94884,0
32,0.0,20930170.0,105.5058,11850740.0,64.94884,0
33,0.0,20929020.0,105.5058,11851950.0,64.94885,0
34,0.0,20927870.0,105.5058,11853160.0,64.94886,0
35,0.0,20928440.0,105.5058,11854380.0,64.94888,0
36,0.0,20929020.0,105.5058,11855590.0,64.94888,0
37,0.0,20929590.0,105.5058,11856800.0,64.94889,0
38,0.0,20930170.0,105.5058,11858010.0,64.9489,0
39,0.0,20930740.0,105.5064,11859220.0,64.94891,0
40,0.0,20931310.0,105.507,11860440.0,64.94891,0
41,0.0,20931890.0,105.5075,11861650.0,64.94892,0
42,0.0,20932460.0,105.5081,11860660.0,64.94893,0
43,0.0,20930170.0,105.5087,11859680.0,64.94894,0
44,0.0,20927870.0,105.5092,11858690.0,64.94894,0
45,0.0,20929020.0,105.5098,11857710.0,64.94895,0
46,0.0,20930170.0,105.5103,11856720.0,64.94897,0
47,0.0,20931310.0,105.5081,11855740.0,64.94897,0
48,0.0,20932460.0,105.5058,11854750.0,64.94898,0
49,0.0,20933040.0,105.5013,11853770.0,64.94899,0
50,0.0,20933610.0,105.4968,11852790.0,64.949,0
51,0.0,20934190.0,105.4961,11851800.0,64.94901,0
52,0.0,20934760.0,105.4953,11850820.0,64.94901,0
53,0.0,20933610.0,105.4946,11850590.0,64.94902,0
54,0.0,20932460.0,105.4939,11850360.0,64.94903,0
55,0.0,20931700.0,105.4931,11850130.0,64.94904,0
56,0.0,20930930.0,105.4923,11849910.0,64.94905,0
57,0.0,20930170.0,105.5013,11849680.0,64.94906,0
58,0.0,20929400.0,105.5103,11849450.0,64.94907,0
59,0.0,20928630.0,105.5081,11849220.0,64.94907,0
60,0.0,20927870.0,105.5058,11849000.0,64.94908,0
61,0.0,20929020.0,105.5036,11848770.0,64.94909,0
62,0.0,20930170.0,105.5013,11848540.0,64.9491,0
63,0.0,20931310.0,105.4991,11848320.0,64.9491,0
64,0.0,20932460.0,105.4968,11848390.0,64.94911,0
65,0.0,20932750.0,105.4991,11848470.0,64.94912,0
66,0.0,20933040.0,105.5013,11848540.0,64.94913,0
67,0.0,20933330.0,105.5036,11848620.0,64.94914,0
68,0.0,20933610.0,105.5058,11848690.0,64.94915,0
69,0.0,20933900.0,105.5013,11848770.0,64.94916,0
70,0.0,20934190.0,105.4968,11848850.0,64.94917,0
71,0.0,20934480.0,105.4946,11848920.0,64.94917,0
72,0.0,20934760.0,105.4923,11849000.0,64.94918,0
73,0.0,20933040.0,105.4991,11849070.0,64.94919,0
74,0.0,20931310.0,105.5058,11849150.0,64.9492,0
75,0.0,20929590.0,105.4991,11849680.0,64.9492,0
76,0.0,20927870.0,105.4923,11850210.0,64.94922,0
77,0.0,20930170.0,105.4991,11850740.0,64.94923,0
78,0.0,20932460.0,105.5058,11851270.0,64.94923,0
79,0.0,20933610.0,105.5081,11851800.0,64.94924,0
80,0.0,20934760.0,105.5103,11852330.0,64.94925,0
