timestamp,P-PDG,P-TPT,T-TPT,P-MON-CKP,T-JUS-CKP,P-JUS-CKGL,QGL,start
0,44858050.0,21146550.0,116.5984,12237600.0,62.02136,2370951.0,0.0,1
1,44858050.0,21146550.0,116.5984,12237600.0,62.0223,2370954.0,0.0,0
2,44858050.0,21146550.0,116.5984,12237600.0,62.02324,2370958.0,0.0,0
3,44858050.0,21146550.0,116.5984,12237600.0,62.02417,2370962.0,0.0,0
4,44858050.0,21146550.0,116.5984,12237600.0,62.02511,2370965.0,0.0,0
5,44858050.0,21146550.0,116.5984,12237600.0,62.02605,2370969.0,0.0,0
6,44858050.0,21146550.0,116.5984,12237600.0,62.02699,2370973.0,0.0,0
7,44858050.0,21146550.0,116.5984,12237600.0,62.02792,2370976.0,0.0,0
8,44858050.0,21146550.0,116.5984,12237610.0,62.02886,2370980.0,0.0,0
9,44858050.0,21146550.0,116.5984,12237610.0,62.02728,2370984.0,0.0,0
10,44858050.0,21146550.0,116.5984,12237610.0,62.02569,2370987.0,0.0,0
11,44858050.0,21146550.0,116.5984,12237610.0,62.0241,2370991.0,0.0,0
12,44858050.0,21146550.0,116.5984,12237610.0,62.02251,2370995.0,0.0,0
13,44858050.0,21146550.0,116.5984,12237610.0,62.02093,2370998.0,0.0,0
14,44858050.0,21146550.0,116.5984,12237610.0,62.01934,2371002.0,0.0,0
15,44858050.0,21146550.0,116.5984,12237610.0,62.01775,2371006.0,0.0,0
16,44858050.0,21146550.0,116.5984,12237610.0,62.01617,2371009.0,0.0,0
17,44858050.0,21146550.0,116.5984,12237610.0,62.01458,2371013.0,0.0,0
18,44858050.0,21146550.0,116.5984,12237610.0,62.01299,2371017.0,0.0,0
19,44858050.0,21146550.0,116.5984,12237620.0,62.01141,2371020.0,0.0,0
20,44858050.0,21146550.0,116.5984,12237620.0,62.00982,2371024.0,0.0,0
21,44858050.0,21146550.0,116.5984,12237620.0,62.00824,2371028.0,0.0,0
22,44858050.0,21146550.0,116.5984,12237620.0,62.00665,2371031.0,0.0,0
23,44858050.0,21146550.0,116.5984,12237620.0,62.00506,2371035.0,0.0,0
24,44858050.0,21146550.0,116.5984,12237620.0,62.00348,2371039.0,0.0,0
25,44858050.0,21146550.0,116.5984,12237620.0,62.00189,2371042.0,0.0,0
26,44858050.0,21146550.0,116.5984,12237620.0,62.0003,2371046.0,0.0,0
27,44858050.0,21146550.0,116.5984,12237620.0,61.99871,2371050.0,0.0,0
28,44858050.0,21146550.0,116.5984,12237620.0,61.99713,2371053.0,0.0,0
29,44858050.0,21146550.0,116.5984,12237620.0,61.99554,2371057.0,0.0,0
30,44858050.0,21146550.0,116.5984,12237630.0,61.99395,2371061.0,0.0,0
31,44858050.0,21146550.0,116.5984,12237630.0,61.99237,2371064.0,0.0,0
32,44858050.0,21146550.0,116.5984,12237630.0,61.99078,2371068.0,0.0,0
33,44858050.0,21146550.0,116.5984,12237630.0,61.98919,2371072.0,0.0,0
34,44858050.0,21146550.0,116.5984,12237630.0,61.98761,2371075.0,0.0,0
35,44858050.0,21146550.0,116.5984,12237630.0,61.98602,2371079.0,0.0,0
36,44858050.0,21146550.0,116.5984,12237630.0,61.98443,2371083.0,0.0,0
37,44858050.0,21146550.0,116.5984,12237630.0,61.98285,2371086.0,0.0,0
38,44858050.0,21146550.0,116.5984,12237630.0,61.98126,2371090.0,0.0,0
39,44858050.0,21146550.0,116.5984,12237630.0,61.97967,2371094.0,0.0,0
40,44858050.0,21146550.0,116.5984,12237640.0,61.97808,2371097.0,0.0,0
41,44858050.0,21146550.0,116.5984,12237640.0,61.9765,2371101.0,0.0,0
42,44858050.0,21146550.0,116.5984,12237640.0,61.97491,2371105.0,0.0,0
43,44858050.0,21146550.0,116.5984,12237640.0,61.97332,2371108.0,0.0,0
44,44858050.0,21146550.0,116.5984,12237640.0,61.97174,2371112.0,0.0,0
45,44858050.0,21146550.0,116.5984,12237640.0,61.97015,2371116.0,0.0,0
46,44858050.0,21146550.0,116.5984,12237640.0,61.96857,2371119.0,0.0,0
47,44858050.0,21146550.0,116.5984,12237640.0,61.96698,2371123.0,0.0,0
48,44858050.0,21146550.0,116.5984,12237640.0,61.96539,2371127.0,0.0,0
49,44858050.0,21146550.0,116.5984,12237640.0,61.96381,2371130.0,0.0,0
50,44858050.0,21146550.0,116.5984,12237640.0,61.96222,2371134.0,0.0,0
51,44858050.0,21146550.0,116.5984,12237640.0,61.96063,2371138.0,0.0,0
52,44858050.0,21146550.0,116.5984,12237650.0,61.95905,2371141.0,0.0,0
53,44858050.0,21146550.0,116.5984,12237650.0,61.95746,2371145.0,0.0,0
54,44858050.0,21146550.0,116.5984,12237650.0,61.95587,2371149.0,0.0,0
55,44858050.0,21146550.0,116.5984,12237650.0,61.95428,2371152.0,0.0,0
56,44858050.0,21146550.0,116.5984,12237650.0,61.9527,2371156.0,0.0,0
57,44858050.0,21146550.0,116.5984,12237650.0,61.95111,2371160.0,0.0,0
58,44858050.0,21146550.0,116.5984,12237650.0,61.94952,2371163.0,0.0,0
59,44858050.0,21146550.0,116.5984,12237650.0,61.94794,2371167.0,0.0,0
60,44858050.0,21146550.0,116.5984,12237650.0,61.94635,2371171.0,0.0,0
61,44858050.0,21146550.0,116.5984,12237650.0,61.94476,2371174.0,0.0,0
62,44858050.0,21146550.0,116.5984,12237660.0,61.94318,2371178.0,0.0,0
63,44858050.0,21146550.0,116.5984,12237660.0,61.94159,2371182.0,0.0,0
64,44858050.0,21146550.0,116.5984,12237660.0,61.94,2371185.0,0.0,0
65,44858050.0,21146550.0,116.5984,12237660.0,61.93842,2371189.0,0.0,0
