timestamp,P-PDG,P-TPT,T-TPT,start
0,26493730.0,13987430.0,110.0207,1
1,26493720.0,13987420.0,110.0197,0
2,26493720.0,13987410.0,110.0186,0
3,26493720.0,13987400.0,110.0175,0
4,26493710.0,13987390.0,110.0164,0
5,26493710.0,13987380.0,110.0153,0
6,26493710.0,13987370.0,110.0142,0
7,26493710.0,13987360.0,110.0132,0
8,26493710.0,13987350.0,110.0121,0
9,26493710.0,13987340.0,110.011,0
10,26493710.0,13987330.0,110.0099,0
11,26493710.0,13987320.0,110.0088,0
12,26493710.0,13987320.0,110.0077,0
13,26493780.0,13987310.0,110.0067,0
14,26493850.0,13987300.0,110.0056,0
15,26493920.0,13987290.0,110.0045,0
16,26493990.0,13987280.0,110.0034,0
17,26494060.0,13987270.0,110.0023,0
18,26494140.0,13987260.0,110.0012,0
19,26494210.0,13987250.0,110.0002,0
20,26494280.0,13987240.0,109.9991,0
21,26494350.0,13987230.0,109.998,0
22,26494420.0,13987220.0,109.9969,0
23,26494490.0,13987210.0,109.9958,0
24,26494480.0,13987210.0,109.9973,0
25,26494460.0,13987200.0,109.9988,0
26,26494450.0,13987190.0,110.0003,0
27,26494430.0,13987180.0,110.0018,0
28,26494420.0,13987170.0,110.0033,0
29,26494410.0,13987160.0,110.0048,0
30,26494390.0,13987150.0,110.0063,0
31,26494380.0,13987140.0,110.0078,0
32,26494360.0,13987130.0,110.0093,0
33,26494350.0,13987120.0,110.0108,0
34,26494330.0,13987110.0,110.0123,0
35,26494320.0,13987100.0,110.0138,0
36,26494300.0,13987100.0,110.0153,0
37,26494290.0,13987090.0,110.0168,0
38,26494270.0,13987080.0,110.0183,0
39,26494260.0,13987070.0,110.0198,0
40,26494240.0,13987060.0,110.0213,0
41,26494220.0,13987050.0,110.0228,0
42,26494210.0,13987040.0,110.0243,0
43,26494190.0,13987030.0,110.0258,0
44,26494180.0,13987020.0,110.0273,0
45,26494160.0,13987010.0,110.0288,0
46,26494120.0,13987000.0,110.0277,0
47,26494080.0,13986990.0,110.0265,0
48,26494040.0,13986990.0,110.0253,0
49,26494000.0,13986980.0,110.0242,0
50,26493960.0,13986970.0,110.023,0
51,26493920.0,13986960.0,110.0218,0
52,26493880.0,13986950.0,110.0207,0
53,26493840.0,13986940.0,110.0195,0
54,26493800.0,13986930.0,110.0183,0
55,26493760.0,13986920.0,110.0172,0
56,26493720.0,13986910.0,110.016,0
57,26493730.0,13986900.0,110.0148,0
58,26493740.0,13986890.0,110.0137,0
59,26493750.0,13986890.0,110.0125,0
60,26493760.0,13986880.0,110.0113,0
61,26493770.0,13986870.0,110.0102,0
62,26493770.0,13986860.0,110.009,0
63,26493780.0,13986850.0,110.0078,0
64,26493790.0,13986840.0,110.0067,0
65,26493800.0,13986830.0,110.0055,0
66,26493800.0,13986820.0,110.0043,0
67,26493810.0,13986810.0,110.0032,0
68,26493810.0,13986800.0,110.002,0
69,26493800.0,13986790.0,110.0008,0
70,26493790.0,13986780.0,109.9997,0
71,26493790.0,13986780.0,109.9985,0
72,26493780.0,13986770.0,109.9973,0
73,26493770.0,13986760.0,109.9962,0
74,26493770.0,13986750.0,109.995,0
75,26493760.0,13986740.0,109.9938,0
76,26493750.0,13986730.0,109.9927,0
77,26493740.0,13986720.0,109.9915,0
78,26493740.0,13986710.0,109.9903,0
79,26493760.0,13986700.0,109.9916,0
80,26493790.0,13986690.0,109.9928,0
81,26493810.0,13986690.0,109.9941,0
82,26493840.0,13986680.0,109.9953,0
83,26493870.0,13986670.0,109.9966,0
84,26493890.0,13986660.0,109.9978,0
85,26493920.0,13986650.0,109.9991,0
